"Southern Hospitality","A Tzimisce pack comprised of the bratovich family, based in Maggie Valley. They employ 'hillbilly horror' tactics, using flesh-crafted ghouls and traps to secure their territory. Led by Mama Jane Bratovich, they are the nightmares of the rural mountain roads.","sabbat pack,tzimisce,bratovich family,fleshcrafters,maggie valley,hillbilly horror"
"The Hushed Puppies","A Sabbat pack specializing in transportation, smuggling, and criminal logistics. Led by Big Bird, a Nosferatu monster. They facilitate the movement of Sabbat assets into and out of the region, making them a priority target for the Sheriff's office.","sabbat pack,smugglers,logistics,big bird,transport,criminal network"
"Maximum Fatality","A violent Brujah/biker pack based in Canton, led by Rex 'The Dick' Morst. They are eager for open war with the Camarilla and often clash with the Sheriff's deputies. They represent the brute force aspect of the Sword of Caine.","sabbat pack,brujah bikers,canton,rex morst,combat,war mongers"
"The Hex","A Nocturne Rock band pioneered by the vampire Zephyr. Their music contains subliminal messaging and has been scrubbed from the internet by the Camarilla. Their vinyl record, 'Dark Selina', is a coveted occult artifact believed to hold keys to Sabbat lore or mind control.","band,zephyr,occult music,subliminal messages,masquerade breach,vinyl"
"Judeculla Rock","An ancient site of power located in the mountains, linked to the Salubri lineage and the Antediluvian Saulot. It is a place of pilgrimage for those seeking Golconda or hidden Noddist lore, but is strictly guarded and dangerous to approach.","ancient site,salubri,saulot,noddist lore,magic location,mountain mystery"
"Basilica of St. Lawrence","The primary Elysium of Greater Asheville. It features the largest freestanding dome on the East Coast and houses deep catacombs used for secure meetings. The sanctity of this holy ground is fiercely protected by the Keeper and the Sheriff.","elysium,main haven,meeting place,catacombs,sanctuary,st lawrence"
"Grove Park Inn","The personal domain of Keeper E.W. Grove and a secondary Elysium. This sprawling historic hotel is a fortress of influence and luxury. It is rumored to have secret passages and rooms constructed by Grove specifically for Kindred needs.","elysium,hotel,grove's haven,luxury,historic site,meeting ground"
"Mars Hill University","The stronghold of the Anarch Baron Schaefer. It houses a vast library of occult and Kindred texts that are banned in Camarilla domains. It serves as a neutral ground for scholars willing to risk the Prince's displeasure to learn the truth.","anarch territory,library,occult research,baron schaefer,university,neutral ground"
"The Biltmore Estate","A forbidden territory within Greater Asheville. By ancient treaty with the Lupines (Werewolves), no Kindred is permitted to enter the grounds. It was formerly the haven of Prince Evander before his destruction. Breaching this boundary acts as a declaration of war against the shifters.","forbidden zone,lupine territory,werewolves,biltmore,treaty violation,danger"
"Crossroads Music Studio","A recording studio in Arden that was the site of a massive Masquerade breach orchestrated by Zephyr in 2025. The resulting fire and media fallout have made it a scar on the domain's reputation and a focus for Second Inquisition scrutiny.","breach site,fire,zephyr,masquerade violation,arden,ruins"
"Firestorm Cafe","A popular neutral ground and meeting spot for Kindred of all sects and clans. While not officially Elysium, it operates under a tacit truce enforced by its mysterious proprietors. It is a hub for gossip, trading favors, and arranging informal deals.","meeting spot,neutral ground,cafe,social hub,gossip center,informal elysium"
"North Carolina Arboretum","A secondary Elysium established in 2001, featuring extensive gardens and an arena designated for ritual combat and duels. It allows for the resolution of grievances in a controlled environment under the supervision of the Master of Elysium.","elysium,arboretum,dueling ground,nature,ritual combat,gardens"
"Feeding Territory: The Rack","Two specific blocks in downtown Asheville reserved for visiting Kindred and those without their own domain. It is a high-traffic nightlife area. Resident Kindred with assigned territories are forbidden from hunting here to ensure hospitality for guests.","hunting ground,the rack,visitor feeding,downtown,nightlife,open territory"
"Appalachian Covenant Militia (ACM)","A localized hunter organization rooted in Baptist doctrine and mountain survivalism. They view vampires as demons and utilize guerrilla tactics and faith-based weaponry. They are a persistent low-level threat to Kindred operating in the rural outskirts.","hunters,militia,religious fanatics,antagonists,acm,human threat"
"Gideon's Chosen Few","A sophisticated and well-funded hunter network operating a compound near Swannanoa. They view themselves as holy knights on a crusade. Unlike the ACM, they possess advanced technology and tactical training, making them a severe threat to the Masquerade.","hunters,GFC,gideon,holy warriors,high-tech threat"
"Justicar Ulugh Begh","The Tremere Justicar, recently appointed to replace Anastasz di Zagreb. He has taken a hardline stance against the Sabbat and is rumored to be critical of the Asheville domain's 'lax' history with the Sword of Caine. His Archon, Ferrum Civis, was recently destroyed in Asheville.","justicar,tremere,antagonist,political threat,hardliner,camerilla leadership"
"Justicar Madame Guil","The Toreador Justicar, known for her terrifying ruthlessness and the execution of 'untouchable' Elders. She is an ally of Prince Tallula, which has afforded Asheville some protection from central Camarilla scrutiny, though that shield is weakening.","justicar,toreador,ally,executioner,political protection,ruthless"
"Daveed Fourié","Banu Haqim Ancilla and the current Prince of Greater Asheville (following Tallula's disappearance). He faces the monumental task of holding the domain together against Sabbat incursions, Anarch unrest, and the scrutiny of the Justicariate.","prince daveed,daveed,banu haqim,new ruler,ancilla,political pressure"
"Manfred von Kassel","Lasombra Ancilla and the current Sheriff of Greater Asheville. He is responsible for the martial defense of the city. As a Lasombra in the Camarilla, he faces constant suspicion but has proven his loyalty through effective enforcement of the Traditions.","sheriff manfred,lasombra,enforcer,martial leader,camarilla convert"
"Ursula Walker","Gangrel Ancilla and the current Seneschal of Greater Asheville. She manages the day-to-day operations of the domain, the allocation of feeding rights, and the granting of Havens. She is a pragmatic stabilizer in a chaotic court.","seneschal ursula,gangrel,administrator,second in command,pragmatist"
"Cassandra Grey","Malkavian Ancilla and Primogen. She is a seer and investigator, deeply involved in unraveling the mysteries of the Sabbat's movements and the internal threats to the domain. She recently sought tutelage in Necromancy.","malkavian primogen,seer,investigator,cassandra,mystic"
"Isabella María","Banu Haqim Ancilla and Primogen. She represents the children of Haqim in the city and is a skilled warrior and diplomat. She is currently navigating the complex politics of her clan's full integration into the Camarilla.","banu haqim primogen,diplomat,warrior,isabella,clan representative"
"Robert Fraser","Gangrel Ancilla and Primogen. He represents the Beasts of the domain. His primary concern is the encroaching threat of the Lupines and the security of the rural borders of Greater Asheville.","gangrel primogen,wilderness expert,robert fraser,beast,border security"
"Arcady Sabo","Lasombra Neonate and Primogen. A young but ambitious Shadow, he represents his clan's interests and strives to prove that the Lasombra are a pillar of the Ivory Tower, not its enemy. He is involved in the financial and political spheres.","lasombra primogen,neonate,ambitious,arcady,political climber"
"Puck Burbage","Toreador Ancilla and Primogen. A prominent artist and socialite, Puck manages the artistic soul of the city and the preservation of the Toreador's influence. They are deeply involved in the social maneuvering of Elysium.","toreador primogen,artist,socialite,puck,elysium politics"
"Nito","Tremere Neonate and Primogen. A young Warlock thrust into a position of power. He deals with the magical threats to the city, including the Sabbat's Koldunic sorcery and the recent disturbances in the ghostly shroud.","tremere primogen,warlock,nito,magic defense,neonate leader"
"Rafferty","Ventrue Ancilla and Primogen. A business magnate and enforcer of the Ventrue ethic of leadership. He ensures the financial stability of the domain and the adherence to the protocols of lineage and dignity.","ventrue primogen,businessman,rafferty,leader,financial stability"
"Biafra","Nosferatu Neonate and Deputy Scourge. A terrifying investigator and enforcer who hunts the unacknowledged and the enemies of the Prince. He uses his skills in obfuscation and combat to patrol the shadows.","deputy scourge,nosferatu,hunter,biafra,enforcer"
"Bill Colson","Ventrue Ancilla and Deputy Scourge. A more formal enforcer of the Prince's will, ensuring that those who violate the hospitality of the domain are removed or punished. He works in tandem with the Sheriff's office.","deputy scourge,ventrue,enforcer,bill colson,lawman"
"Pretty Boy Slim","Toreador Ancilla and Deputy Sheriff. A combat-capable Toreador who defies the stereotype of the effete artist. He assists Sheriff Manfred in the physical defense of the Masquerade.","deputy sheriff,toreador,fighter,pretty boy slim,enforcer"
"Mercy Merriman","Brujah Elder and Whip. A fiery orator and seasoned warrior of the clan of the Learned. She guides the younger Brujah and ensures their passion is directed towards the enemies of the Tower rather than its foundations.","brujah whip,elder,mercy,orator,warrior"
"Beau Brummell","Banu Haqim Elder and Whip. A sophisticated and dangerous Assamite who enforces the internal discipline of his clan. He is a master of the silent knife and the diplomatic word.","banu haqim whip,elder,assassin,beau brummell,diplomat"
"Esmerelda Camazot Yuritzi","Gangrel Elder and Whip. An ancient and primal force within the clan. She guides the Gangrel in their connection to the Beast and the land, ensuring they remain useful guardians of the domain.","gangrel whip,elder,primitive,esmerelda,guide"
"Ophelia","Malkavian Neonate and Whip. A cryptic and insightful voice among the Lunatics. She helps interpret the madness of her clanmates and channel their insights into useful intelligence for the Primogen.","malkavian whip,neonate,seer,ophelia,interpreter"
"Tristan de Lovette","Toreador Elder and Whip. A master of the social game and a manipulator of emotions. Tristan ensures the Toreador remain at the pinnacle of the city's social hierarchy.","toreador whip,elder,social master,tristan,manipulator"
"Bugs","Nosferatu Ancilla and Master Harpy. The successor to Sister Tiffany, Bugs now controls the flow of status and scandal in Greater Asheville. Their word can make or break a Kindred's reputation in the court.","master harpy,nosferatu,gossip monger,bugs,status judge"
"xX_DarkRat_Xx","Nosferatu Neonate and Keeper of Elysium. A tech-savvy Nosferatu who maintains the security and sanctity of the domain's meeting places. They utilize modern surveillance to monitor Elysium for breaches.","keeper of elysium,nosferatu,hacker,darkrat,security"
"Erin Yesse","Brujah Neonate and Enforcer. A street-level fighter and protector of the domain. Erin is often on the front lines against Sabbat incursions and breaches of the peace.","brujah enforcer,neonate,fighter,erin yesse,protector"
"Morgan 9's Doan","Gangrel Ancilla and Enforcer. A wilderness scout and combatant who patrols the borders of the city, intercepting threats before they reach the urban center.","gangrel enforcer,scout,fighter,morgan doan,border patrol"
"Clan Ventrue","The Clan of Kings. They value hierarchy, lineage, and the power to command. Their signature powers are Dominate (mental control), Fortitude (supernatural resilience), and Presence (emotional manipulation). They suffer from a rarefied palate, able to feed only from a specific type of vessel.","clan of kings,leaders,blue bloods,dominate,fortitude,presence,rarefied palate"
"Clan Toreador","The Clan of the Rose. They are artists, critics, and hedonists who value beauty and passion above all. Their powers are Auspex (heightened senses), Celerity (supernatural speed), and Presence (attraction/fear). They are often distracted by beauty, freezing in awe of artistic perfection.","clan of the rose,artists,hedonists,auspex,celerity,presence,entrancement"
"Clan Tremere","The Clan of Warlocks. Former mages who stole immortality through blood sorcery. They are a pyramid scheme of occult power. Their unique discipline is Thaumaturgy (Blood Sorcery), alongside Auspex and Dominate. They are bound by a rigid hierarchy and often distrusted by other clans.","clan of warlocks,blood sorcerers,thaumaturgy,auspex,dominate,pyramid"
"Clan Nosferatu","The Clan of the Hidden. Twisted by the curse of Caine into hideous monsters, they hide in the sewers and shadows. They are the spymasters of the Kindred. Their powers are Animalism, Obfuscate (invisibility), and Potence (super strength). Their flaw is their horrific appearance, which breaches the Masquerade instantly.","clan of the hidden,sewer rats,spies,animalism,obfuscate,potence,horrific appearance"
"Clan Malkavian","The Clan of the Moon. Cursed with insanity, they see truths others miss. They are oracles and madmen. Their powers include Auspex, Obfuscate, and Dementation (spreading madness). Every Malkavian suffers from at least one permanent, incurable mental derangement.","clan of the moon,lunatics,seers,auspex,obfuscate,dementation,insanity"
"Clan Brujah","The Clan of the Learned (Rabble). Once philosopher-kings, now rebels and punks. They are prone to frenzy and value freedom and change. Their powers are Celerity, Potence, and Presence. They suffer from a short temper, increasing the difficulty to resist frenzy.","clan of the learned,rebels,brujah,celerity,potence,presence,short temper"
"Clan Gangrel","The Clan of the Beast. They are closer to their feral nature than any other clan, often living in the wild. Their powers are Animalism, Fortitude, and Protean (shapeshifting). When they frenzy, they gain temporary animal features. They are the outriders and scouts of the Camarilla.","clan of the beast,outlanders,gangrel,animalism,fortitude,protean,animal features"
"Clan Lasombra","The Clan of Night (Magisters). Formerly leaders of the Sabbat, many have defected to the Camarilla. They are social Darwinists who value strength and excellence. Their signature power is Obtenebration (control of shadows), along with Dominate and Potence. They cast no reflection in mirrors.","clan of night,magisters,shadows,obtenebration,dominate,potence,no reflection"
"Clan Banu Haqim (Assamite)","The Clan of the Hunt. Judges, warriors, and viziers from the Middle East who recently joined the Camarilla. They utilize Quietus (silence/poison), Celerity, and Obfuscate. Their curse involves a darkening of the skin with age or a hunger for vampire blood (depending on caste).","clan of the hunt,judges,assamites,quietus,celerity,obfuscate,blood addiction"
"Caitiff","The Clanless. Vampires who do not share the specific traits or social acceptance of a parent clan. They are often treated as second-class citizens or mistakes. They can learn any discipline but lack the social support structure of a clan.","clanless,outcasts,caitiff,no lineage,pariahs"
"The Sabbat (The Sword of Caine)","A sect of vampires who reject the Masquerade and believe they should rule over humanity as gods. They are sworn enemies of the Antediluvians and the Camarilla. They practice the Vaulderie (blood sharing) to break blood bonds and create pack loyalty.","sect,sword of caine,antagonists,monsters,vaulderie,inhuman"
"The Camarilla (The Ivory Tower)","The dominant sect of vampires in the Western world. They enforce the Masquerade and the Traditions to hide from humanity and preserve their existence. They are a gerontocracy ruled by the oldest vampires.","sect,ivory tower,traditions,masquerade,government,hierarchy"
"The Anarch Movement","A sect of vampires who reject the rigid hierarchy of the Camarilla but still mostly uphold the Masquerade. They value freedom and equality (in theory) and often hold territory in 'Free States'. Baron Schaefer runs the local Anarch pocket in Mars Hill.","sect,rebels,freedom fighters,anarchs,barons,revolution"
"Discipline: Dominate","The power of mental compulsion and command. Used primarily by Ventrue, Tremere, and Lasombra to force obedience, erase memories, or rewrite personalities. It requires eye contact and a shared language.","mental control,command,mesmerize,forgetful mind,conditioning,possession"
"Discipline: Auspex","The power of heightened senses and extrasensory perception. Used by Toreador, Malkavians, and Tremere to see invisible things, read auras, and project their consciousness astrally.","heightened senses,aura reading,psychometry,astral projection,telepathy"
"Discipline: Celerity","The power of supernatural speed. Used by Brujah, Toreador, and Banu Haqim to move faster than the eye can follow, gaining extra actions in combat and dodging attacks with ease.","super speed,rapidity,alacrity,extra actions,reflexes"
"Discipline: Potence","The power of supernatural strength. Used by Brujah, Nosferatu, and Lasombra to crush stone, lift cars, and deal devastating damage in melee combat. It is the raw physical might of the Blood.","super strength,might,vigor,crushing blow,destruction"
"Discipline: Fortitude","The power of supernatural resilience. Used by Ventrue, Gangrel, and Ravnos to soak damage that would pulverize a mortal, including fire and sunlight (to a degree). It is the shield of the immortal.","resilience,toughness,soak,endurance,invulnerability"
"Discipline: Obfuscate","The power of supernatural concealment. Used by Nosferatu, Malkavians, and Banu Haqim to cloud the minds of observers, becoming effectively invisible. It can also be used to disguise one's appearance.","invisibility,concealment,mask of a thousand faces,stealth,hiding"
"Discipline: Presence","The power of emotional manipulation. Used by Toreador, Ventrue, and Brujah to attract, terrify, or command the attention of others without direct mind control. It works on crowds and sways emotions.","awe,majesty,fear,dread gaze,entrancement,charisma"
"Discipline: Animalism","The power to communicate with and command the beast within animals and Kindred. Used by Gangrel and Nosferatu to summon swarms, ride the minds of beasts, and quell the frenzy of other vampires.","animal control,beast mastery,feral whispers,quell the beast,familiars"
"Discipline: Protean","The power of shapeshifting. The signature discipline of the Gangrel, allowing them to grow claws, see in the dark, turn into a mist, or transform into a wolf or bat.","shapeshifting,claws,earth meld,mist form,transformation"
"Discipline: Thaumaturgy (Blood Sorcery)","The jealously guarded magic of Clan Tremere. It is versatile and dangerous, capable of boiling blood, moving objects with the mind, or summoning fire. It is divided into Paths (like Path of Blood) and Rituals.","blood magic,sorcery,rituals,path of blood,tremere secret"
"Discipline: Obtenebration","The power to manipulate darkness and shadows, tapping into the Abyss. The signature power of the Lasombra. Users can create tentacles of shadow, shroud areas in pitch blackness, or become a shadow themselves.","shadow manipulation,abyss,darkness,arms of the abyss,shadow form"
"Discipline: Dementation","The power to externalize madness. Originally unique to the Malkavians, it allows the user to inflict hysteria, hallucinations, and confusion upon victims, sharing the clan's curse with the world.","madness,insanity,hysteria,hallucinations,mind breaking"
"Discipline: Quietus","The silent art of death practiced by the Banu Haqim. It involves silencing sounds, creating virulent blood poisons, and eroding the stamina of victims. It is the tool of the assassin.","silence,poison,blood sweat,assassination,death arts"
"Discipline: Vicissitude","The alien power of flesh and bone crafting, practiced by the Tzimisce. It allows the user to mold living tissue like clay, creating beautiful or horrific alterations to themselves and others.","fleshcrafting,bonecrafting,tzimisce,body horror,transformation"
"Discipline: Necromancy","The magic of death and souls, practiced by the Giovanni and some other bloodlines. It allows communication with wraiths, raising zombies, and manipulating the entropy of life.","death magic,ghosts,wraiths,zombies,giovanni,soul manipulation"
"Golconda","A mythical state of enlightenment and balance between the Man and the Beast. Kindred who achieve it are said to master their hunger and frenzy, finding peace in their damnation. It is the ultimate spiritual goal for many, though few attain it.","enlightenment,peace,mastery of beast,salvation,myth"
"The Book of Nod","The sacred text of the Kindred (specifically Noddists and the Sabbat), detailing the history of Caine, the First City, and the prophecy of Gehenna. The Camarilla often suppresses it as dangerous superstition.","scripture,caine's history,prophecy,gehenna,noddist lore"
"Gehenna","The prophesied end times when the Antediluvians will rise from torpor to devour their children. The Sabbat fights a war to prevent this, while the Camarilla traditionally denied its existence (until recently).","apocalypse,end times,antediluvians rising,judgment day,vampire armageddon"
"The Antediluvians","The progenitors of the thirteen clans, generally of the 3rd Generation. They are god-like beings of immense power sleeping in the earth. Their waking is the harbinger of Gehenna.","clan founders,ancients,gods,3rd generation,sleeping threats"
"Methuselah","A vampire of the 4th or 5th generation, usually thousands of years old. They are incredibly powerful and often manipulate the Jyhad from the shadows.","ancient,4th generation,5th generation,puppet master,godlike"
"The Jyhad","The eternal, secret war played out between the Antediluvians and Methuselahs, using younger vampires as pawns. It is the great game of manipulation that defines Kindred history.","eternal struggle,great game,manipulation,war of ages,puppet show"
"Blood Bond (Vinculum)","A mystical emotional slavery created by drinking the blood of another vampire three times. The thrall becomes obsessively loyal to the regnant. The Sabbat uses a communal version called the Vaulderie to bond packs to each other rather than a master.","slavery,emotional control,thrall,regnant,three drinks,loyalty"
"Diablerie (The Amaranth)","The act of draining a vampire to the point of final death and then consuming their soul. It allows the diablerist to lower their generation and gain power, but stains their aura with black veins. It is the ultimate crime in the Camarilla.","soul eating,cannibalism,generation drop,ultimate crime,aura stain"
"Ghoul","A human fed vampire blood without being drained. They gain extended life, potence, and stopped aging, but become blood-bound addicts loyal to their domitor.","servant,blood addict,retainer,human servant,domitor"
"Elysium","A designated safe zone within a domain where violence is strictly prohibited. It is a place for social gathering, politics, and art. The Keeper of Elysium enforces the peace here. In Asheville, the Basilica and Grove Park Inn are key Elysia.","safe zone,no violence,social ground,sanctuary,peace"
"The Rack","The prime feeding grounds of a city, usually the club district or red-light district. Access to the Rack is a privilege granted by the Prince or Seneschal.","hunting ground,club district,easy feeding,prime territory,privilege"
"Status","The currency of social standing in the Camarilla. Traits like 'Acknowledged', 'Ancilla', or 'Elder' define a vampire's rights and influence. Status is granted by the Prince and stripped by the Harpy.","social standing,reputation,rank,influence,prestige"
"Boon","A favor owed between vampires. It is the economy of the Kindred. Boons are recorded by the Harpy and must be repaid. Categories include Trivial, Minor, Major, and Life Boons.","favor,debt,currency,obligation,repayment"
"The Scourge","A court official responsible for thinning the population of the domain. They hunt down Caitiff, unauthorized childer, and Thin-bloods to keep the vampire population sustainable and pure.","thin-blood hunter,population control,killer,court officer,caitiff slayer"
"The Harpy","The master of Elysium's social court (distinct from the Keeper). They record boons, announce status, and judge scandals. A Harpy's word can ruin a vampire's social life.","gossip,status keeper,judge,boon recorder,socialite"
"The Keeper of Elysium","The court officer responsible for the physical safety and maintenance of Elysium. They have the authority to confiscate weapons and expel troublemakers from the safe zone.","elysium guard,host,safety officer,event planner,pacifist enforcer"
"The Sheriff","The martial enforcer of the Prince's laws. They investigate crimes, hunt criminals, and lead the domain's defense in times of war. They often appoint Deputies (Hounds) to assist them.","police,enforcer,investigator,martial leader,prince's sword"
"The Seneschal","The Prince's right hand and administrator. They handle the boring details of ruling, manage schedules, and stand in for the Prince when they are unavailable.","administrator,deputy prince,manager,secretary,second in command"
"Primogen","The council of advisors to the Prince, usually representing the interests of their respective clans. They are the elders who check the Prince's power and advocate for their lineage.","advisor,council,clan leader,elder representative,legislature"
"Whip","The assistant to a Primogen. They act as a whip-cracker to keep the clan members in line and ensure the Primogen's orders are followed. They are often younger, ambitious Ancillae.","assistant,clan enforcer,primogen's aide,junior leader"
"Ancilla","A vampire who has proven themselves valuable and survived usually 50-200 years. They are the middle management of the Camarilla, stuck between the neonates and the elders.","rank,middle class,experienced,proven,ambitious"
"Neonate","A young vampire, recently released from their sire's accounting (usually less than 50 years active). They have full rights but little respect or power.","young vampire,newly released,rookie,low rank,beginner"
"Fledgling","A brand new vampire still under the protection and accounting of their sire. They are not yet full members of Camarilla society and have no rights of their own.","child,unreleased,apprentice,protected,no status"
"Elder","A vampire of significant age (usually 300+ years) and generation. They hold the true power in the Camarilla and are masters of the Jyhad.","ancient,ruler,powerful,300+ years,master"
"Caitiff","A vampire with no clan characteristics, often abandoned by their sire. They are social pariahs.","clanless,bastard,outcast,no status"
"Thin-blood","A vampire of the 14th or 15th generation. Their blood is too weak to embrace properly or fuel disciplines efficiently. They are viewed as harbingers of Gehenna and are often hunted by the Scourge.","weak blood,14th gen,15th gen,daywalker,omen"
"Humanity","The moral code that keeps the Beast at bay. Vampires must maintain their connection to their human nature or risk falling to the Beast and becoming a mindless monster (Wight).","morality,conscience,beast control,sanity,soul"
"The Beast","The primal, predatory drive within every vampire that urges them to kill, feed, and destroy. It is the source of frenzy and the enemy of Humanity.","predator,instinct,hunger,rage,monster within"
"Frenzy","A state where the Beast takes control. Triggered by hunger, anger, or fear (Rötschreck). The vampire becomes a mindless killing machine or flees in blind panic.","loss of control,rage,panic,rotschreck,beast takeover"
"Torpor","The death-sleep of vampires. When injured severely or starved, a vampire enters a coma-like state that can last from days to centuries. Ancient vampires sleep in torpor to wait out the ages.","coma,sleep,hibernation,healing,stasis"
"Vitae","The blood of a vampire. It is charged with supernatural energy, fueling disciplines, healing wounds, and waking the dead body each night.","vampire blood,fuel,energy,life force,power"
"Ghouling","The act of feeding vitae to a mortal to create a Ghoul servant.","servant creation,bonding,empowerment"
"Revenant","A rare type of ghoul born to a ghoul family (like the Bratovitch). They produce their own weak vitae and are naturally long-lived without needing constant feeding. Used by the Sabbat and Tzimisce.","born ghoul,breeding stock,tzimisce servant,naturally magical"
